time,flowrate
8.00E-02,-5.00E-01
9.00E-02,-5.00E-01
1.00E-01,-5.00E-01
2.00E-01,-5.00E-01
3.00E-01,-5.00E-01
4.00E-01,-5.00E-01
5.00E-01,-5.00E-01
6.00E-01,-5.00E-01
7.00E-01,-5.00E-01
8.00E-01,-5.00E-01
9.00E-01,-5.00E-01
1.00E+00,-5.00E-01
2.00E+00,-5.00E-01
3.00E+00,-5.00E-01
4.00E+00,-5.00E-01
5.00E+00,-5.00E-01
6.00E+00,-5.00E-01
7.00E+00,-5.00E-01
8.00E+00,-5.00E-01
9.00E+00,-5.00E-01
1.00E+01,-5.00E-01
2.00E+01,-5.00E-01
3.00E+01,-5.00E-01
4.00E+01,-5.00E-01
5.00E+01,-5.00E-01
6.00E+01,-5.00E-01
7.00E+01,-5.00E-01
8.00E+01,-5.00E-01
9.00E+01,-5.00E-01
1.00E+02,-5.00E-01
2.00E+02,-5.00E-01
3.00E+02,-5.00E-01
4.00E+02,-5.00E-01
5.00E+02,-5.00E-01
6.00E+02,-5.00E-01
7.00E+02,-5.00E-01
8.00E+02,-5.00E-01
9.00E+02,-5.00E-01
1.00E+03,-5.00E-01
2.00E+03,-5.00E-01
3.00E+03,-5.00E-01
4.00E+03,-5.00E-01
5.00E+03,-5.00E-01
6.00E+03,-5.00E-01
7.00E+03,-5.00E-01
8.00E+03,-5.00E-01
9.00E+03,-5.00E-01
1.00E+04,-5.00E-01
1.10E+04,-5.00E-01
1.20E+04,-5.00E-01
1.30E+04,-5.00E-01
1.40E+04,-5.00E-01
1.50E+04,-5.00E-01
1.60E+04,-5.00E-01
1.70E+04,-5.00E-01
1.80E+04,-5.00E-01
1.90E+04,-5.00E-01
2.00E+04,-5.00E-01
2.10E+04,-5.00E-01
2.20E+04,-5.00E-01
2.30E+04,-5.00E-01
2.40E+04,-5.00E-01
2.50E+04,-5.00E-01
2.60E+04,-5.00E-01
2.70E+04,-5.00E-01
2.80E+04,-5.00E-01
2.90E+04,-5.00E-01
3.00E+04,-5.00E-01
3.10E+04,-5.00E-01
3.20E+04,-5.00E-01
3.30E+04,-5.00E-01
3.40E+04,-5.00E-01
3.50E+04,-5.00E-01
3.60E+04,-5.00E-01
3.70E+04,-5.00E-01
3.80E+04,-5.00E-01
3.90E+04,-5.00E-01
4.00E+04,-5.00E-01
4.10E+04,-5.00E-01
4.20E+04,-5.00E-01
4.30E+04,-5.00E-01
4.40E+04,-5.00E-01
4.50E+04,-5.00E-01
4.60E+04,-5.00E-01
4.70E+04,-5.00E-01
4.80E+04,-5.00E-01
4.90E+04,-5.00E-01
5.00E+04,-5.00E-01
5.10E+04,-5.00E-01
5.20E+04,-5.00E-01
5.30E+04,-5.00E-01
5.40E+04,-5.00E-01
5.50E+04,-5.00E-01
5.60E+04,-5.00E-01
5.70E+04,-5.00E-01
5.80E+04,-5.00E-01
5.90E+04,-5.00E-01
6.00E+04,-5.00E-01
6.10E+04,-5.00E-01
6.20E+04,-5.00E-01
6.30E+04,-5.00E-01
6.40E+04,-5.00E-01
6.50E+04,-5.00E-01
6.60E+04,-5.00E-01
6.70E+04,-5.00E-01
6.80E+04,-5.00E-01
6.90E+04,-5.00E-01
7.00E+04,-5.00E-01
7.10E+04,-5.00E-01
7.20E+04,-5.00E-01
7.30E+04,-5.00E-01
7.40E+04,-5.00E-01
7.50E+04,-5.00E-01
7.60E+04,-5.00E-01
7.70E+04,-5.00E-01
7.80E+04,-5.00E-01
7.90E+04,-5.00E-01
8.00E+04,-5.00E-01
8.10E+04,-5.00E-01
8.20E+04,-5.00E-01
8.30E+04,-5.00E-01
8.40E+04,-5.00E-01
8.50E+04,-5.00E-01
8.60E+04,-5.00E-01
8.70E+04,-5.00E-01
8.80E+04,-5.00E-01
8.90E+04,-5.00E-01
9.00E+04,-5.00E-01
9.10E+04,-5.00E-01
9.20E+04,-5.00E-01
9.30E+04,-5.00E-01
9.40E+04,-5.00E-01
9.50E+04,-5.00E-01
9.60E+04,-5.00E-01
9.70E+04,-5.00E-01
9.80E+04,-5.00E-01
9.90E+04,-5.00E-01
1.00E+05,-5.00E-01
1.10E+05,-5.00E-01
1.20E+05,-5.00E-01
1.30E+05,-5.00E-01
1.40E+05,-5.00E-01
1.50E+05,-5.00E-01
1.60E+05,-5.00E-01
1.70E+05,-5.00E-01
1.80E+05,-5.00E-01
1.90E+05,-5.00E-01
2.00E+05,-5.00E-01
2.10E+05,-5.00E-01
2.20E+05,-5.00E-01
2.30E+05,-5.00E-01
2.40E+05,-5.00E-01
2.50E+05,-5.00E-01
2.60E+05,-5.00E-01
2.70E+05,-5.00E-01
2.80E+05,-5.00E-01
2.90E+05,-5.00E-01
3.00E+05,-5.00E-01
3.10E+05,-5.00E-01
3.20E+05,-5.00E-01
3.30E+05,-5.00E-01
3.40E+05,-5.00E-01
3.50E+05,-5.00E-01
3.60E+05,-5.00E-01
3.70E+05,-5.00E-01
3.80E+05,-5.00E-01
3.90E+05,-5.00E-01
4.00E+05,-5.00E-01
4.10E+05,-5.00E-01
4.20E+05,-5.00E-01
4.30E+05,-5.00E-01
4.40E+05,-5.00E-01
4.50E+05,-5.00E-01
4.60E+05,-5.00E-01
4.70E+05,-5.00E-01
4.80E+05,-5.00E-01
4.90E+05,-5.00E-01
5.00E+05,-5.00E-01
5.10E+05,-5.00E-01
5.20E+05,-5.00E-01
5.30E+05,-5.00E-01
5.40E+05,-5.00E-01
5.50E+05,-5.00E-01
5.60E+05,-5.00E-01
5.70E+05,-5.00E-01
5.80E+05,-5.00E-01
5.90E+05,-5.00E-01
6.00E+05,-5.00E-01
6.10E+05,-5.00E-01
6.20E+05,-5.00E-01
6.30E+05,-5.00E-01
6.40E+05,-5.00E-01
6.50E+05,-5.00E-01
6.60E+05,-5.00E-01
6.70E+05,-5.00E-01
6.80E+05,-5.00E-01
6.90E+05,-5.00E-01
7.00E+05,-5.00E-01
7.10E+05,-5.00E-01
7.20E+05,-5.00E-01
7.30E+05,-5.00E-01
7.40E+05,-5.00E-01
7.50E+05,-5.00E-01
7.60E+05,-5.00E-01
7.70E+05,-5.00E-01
7.80E+05,-5.00E-01
7.90E+05,-5.00E-01
8.00E+05,-5.00E-01
8.10E+05,-5.00E-01
8.20E+05,-5.00E-01
8.30E+05,-5.00E-01
8.40E+05,-5.00E-01
8.50E+05,-5.00E-01
8.60E+05,-5.00E-01
8.70E+05,-5.00E-01
8.80E+05,-5.00E-01
8.90E+05,-5.00E-01
9.00E+05,-5.00E-01
9.10E+05,-5.00E-01
9.20E+05,-5.00E-01
9.30E+05,-5.00E-01
9.40E+05,-5.00E-01
9.50E+05,-5.00E-01
9.60E+05,-5.00E-01
9.70E+05,-5.00E-01
9.80E+05,-5.00E-01
9.90E+05,-5.00E-01
1.00E+06,-5.00E-01
1.01E+06,-5.00E-01
1.02E+06,-5.00E-01
1.03E+06,-5.00E-01
1.04E+06,-5.00E-01
1.05E+06,-5.00E-01
1.06E+06,-5.00E-01
1.07E+06,-5.00E-01
1.08E+06,-5.00E-01
1.09E+06,-5.00E-01
1.10E+06,-5.00E-01
1.11E+06,-5.00E-01
1.12E+06,-5.00E-01
1.13E+06,-5.00E-01
1.14E+06,-5.00E-01
1.15E+06,-5.00E-01
1.16E+06,-5.00E-01
1.17E+06,-5.00E-01
1.18E+06,-5.00E-01
1.19E+06,-5.00E-01
1.20E+06,-5.00E-01
1.21E+06,-5.00E-01
1.22E+06,-5.00E-01
1.23E+06,-5.00E-01
1.24E+06,-5.00E-01
1.25E+06,-5.00E-01
1.26E+06,-5.00E-01
1.27E+06,-5.00E-01
1.28E+06,-5.00E-01
1.29E+06,-5.00E-01
1.30E+06,-5.00E-01
1.31E+06,-5.00E-01
1.32E+06,-5.00E-01
1.33E+06,-5.00E-01
1.34E+06,-5.00E-01
1.35E+06,-5.00E-01
1.36E+06,-5.00E-01
1.37E+06,-5.00E-01
1.38E+06,-5.00E-01
1.39E+06,-5.00E-01
1.40E+06,-5.00E-01
1.41E+06,-5.00E-01
1.42E+06,-5.00E-01
1.43E+06,-5.00E-01
1.44E+06,-5.00E-01
1.45E+06,-5.00E-01
1.46E+06,-5.00E-01
1.47E+06,-5.00E-01
1.48E+06,-5.00E-01
1.49E+06,-5.00E-01
1.50E+06,-5.00E-01
1.51E+06,-5.00E-01
1.52E+06,-5.00E-01
1.53E+06,-5.00E-01
1.54E+06,-5.00E-01
1.55E+06,-5.00E-01
1.56E+06,-5.00E-01
1.57E+06,-5.00E-01
1.58E+06,-5.00E-01
1.59E+06,-5.00E-01
1.60E+06,-5.00E-01
1.61E+06,-5.00E-01
1.62E+06,-5.00E-01
1.63E+06,-5.00E-01
1.64E+06,-5.00E-01
1.65E+06,-5.00E-01
1.66E+06,-5.00E-01
1.67E+06,-5.00E-01
1.68E+06,-5.00E-01
1.69E+06,-5.00E-01
1.70E+06,-5.00E-01
1.71E+06,-5.00E-01
1.72E+06,-5.00E-01
1.73E+06,-5.00E-01
1.74E+06,-5.00E-01
1.75E+06,-5.00E-01
1.76E+06,-5.00E-01
1.77E+06,-5.00E-01
1.78E+06,-5.00E-01
1.79E+06,-5.00E-01
1.80E+06,-5.00E-01
1.81E+06,-5.00E-01
1.82E+06,-5.00E-01
1.83E+06,-5.00E-01
1.84E+06,-5.00E-01
1.85E+06,-5.00E-01
1.86E+06,-5.00E-01
1.87E+06,-5.00E-01
1.88E+06,-5.00E-01
1.89E+06,-5.00E-01
1.90E+06,-5.00E-01
1.91E+06,-5.00E-01
1.92E+06,-5.00E-01
1.93E+06,-5.00E-01
1.94E+06,-5.00E-01
1.95E+06,-5.00E-01
1.96E+06,-5.00E-01
1.97E+06,-5.00E-01
1.98E+06,-5.00E-01
1.99E+06,-5.00E-01
2.00E+06,-5.00E-01
2.01E+06,-5.00E-01
2.02E+06,-5.00E-01
2.03E+06,-5.00E-01
2.04E+06,-5.00E-01
2.05E+06,-5.00E-01
2.06E+06,-5.00E-01
2.07E+06,-5.00E-01
2.08E+06,-5.00E-01
2.09E+06,-5.00E-01
2.10E+06,-5.00E-01
2.11E+06,-5.00E-01
2.12E+06,-5.00E-01
2.13E+06,-5.00E-01
2.14E+06,-5.00E-01
2.15E+06,-5.00E-01
2.16E+06,-5.00E-01
2.17E+06,-5.00E-01
2.18E+06,-5.00E-01
2.19E+06,-5.00E-01
2.20E+06,-5.00E-01
2.21E+06,-5.00E-01
2.22E+06,-5.00E-01
2.23E+06,-5.00E-01
2.24E+06,-5.00E-01
2.25E+06,-5.00E-01
2.26E+06,-5.00E-01
2.27E+06,-5.00E-01
2.28E+06,-5.00E-01
2.29E+06,-5.00E-01
2.30E+06,-5.00E-01
2.31E+06,-5.00E-01
2.32E+06,-5.00E-01
2.33E+06,-5.00E-01
2.34E+06,-5.00E-01
2.35E+06,-5.00E-01
2.36E+06,-5.00E-01
2.37E+06,-5.00E-01
2.38E+06,-5.00E-01
2.39E+06,-5.00E-01
2.40E+06,-5.00E-01
2.41E+06,-5.00E-01
2.42E+06,-5.00E-01
2.43E+06,-5.00E-01
2.44E+06,-5.00E-01
2.45E+06,-5.00E-01
2.46E+06,-5.00E-01
2.47E+06,-5.00E-01
2.48E+06,-5.00E-01
2.49E+06,-5.00E-01
2.50E+06,-5.00E-01
2.51E+06,-5.00E-01
2.52E+06,-5.00E-01
2.53E+06,-5.00E-01
2.54E+06,-5.00E-01
2.55E+06,-5.00E-01
2.56E+06,-5.00E-01
2.57E+06,-5.00E-01
2.58E+06,-5.00E-01
2.59E+06,-5.00E-01
2.60E+06,-5.00E-01
2.61E+06,-5.00E-01
2.62E+06,-5.00E-01
2.63E+06,-5.00E-01
2.64E+06,-5.00E-01
2.65E+06,-5.00E-01
2.66E+06,-5.00E-01
2.67E+06,-5.00E-01
2.68E+06,-5.00E-01
2.69E+06,-5.00E-01
2.70E+06,-5.00E-01
2.71E+06,-5.00E-01
2.72E+06,-5.00E-01
2.73E+06,-5.00E-01
2.74E+06,-5.00E-01
2.75E+06,-5.00E-01
2.76E+06,-5.00E-01
2.77E+06,-5.00E-01
2.78E+06,-5.00E-01
2.79E+06,-5.00E-01
2.80E+06,-5.00E-01
2.81E+06,-5.00E-01
2.82E+06,-5.00E-01
2.83E+06,-5.00E-01
2.84E+06,-5.00E-01
2.85E+06,-5.00E-01
2.86E+06,-5.00E-01
2.87E+06,-5.00E-01
2.88E+06,-5.00E-01
2.89E+06,-5.00E-01
2.90E+06,-5.00E-01
2.91E+06,-5.00E-01
2.92E+06,-5.00E-01
2.93E+06,-5.00E-01
2.94E+06,-5.00E-01
2.95E+06,-5.00E-01
2.96E+06,-5.00E-01
2.97E+06,-5.00E-01
2.98E+06,-5.00E-01
2.99E+06,-5.00E-01
3.00E+06,-5.00E-01
3.01E+06,-5.00E-01
3.02E+06,-5.00E-01
3.03E+06,-5.00E-01
3.04E+06,-5.00E-01
3.05E+06,-5.00E-01
3.06E+06,-5.00E-01
3.07E+06,-5.00E-01
3.08E+06,-5.00E-01
3.09E+06,-5.00E-01
3.10E+06,-5.00E-01
3.11E+06,-5.00E-01
3.12E+06,-5.00E-01
3.13E+06,-5.00E-01
3.14E+06,-5.00E-01
3.15E+06,-5.00E-01
3.16E+06,-5.00E-01
3.17E+06,-5.00E-01
3.18E+06,-5.00E-01
3.19E+06,-5.00E-01
3.20E+06,-5.00E-01
3.21E+06,-5.00E-01
3.22E+06,-5.00E-01
3.23E+06,-5.00E-01
3.24E+06,-5.00E-01
3.25E+06,-5.00E-01
3.26E+06,-5.00E-01
3.27E+06,-5.00E-01
3.28E+06,-5.00E-01
3.29E+06,-5.00E-01
3.30E+06,-5.00E-01
3.31E+06,-5.00E-01
3.32E+06,-5.00E-01
3.33E+06,-5.00E-01
3.34E+06,-5.00E-01
3.35E+06,-5.00E-01
3.36E+06,-5.00E-01
3.37E+06,-5.00E-01
3.38E+06,-5.00E-01
3.39E+06,-5.00E-01
3.40E+06,-5.00E-01
3.41E+06,-5.00E-01
3.42E+06,-5.00E-01
3.43E+06,-5.00E-01
3.44E+06,-5.00E-01
3.45E+06,-5.00E-01
3.46E+06,-5.00E-01
3.47E+06,-5.00E-01
3.48E+06,-5.00E-01
3.49E+06,-5.00E-01
3.50E+06,-5.00E-01
3.51E+06,-5.00E-01
3.52E+06,-5.00E-01
3.53E+06,-5.00E-01
3.54E+06,-5.00E-01
3.55E+06,-5.00E-01
3.56E+06,-5.00E-01
3.57E+06,-5.00E-01
3.58E+06,-5.00E-01
3.59E+06,-5.00E-01
3.60E+06,-5.00E-01
3.61E+06,-5.00E-01
3.62E+06,-5.00E-01
3.63E+06,-5.00E-01
3.64E+06,-5.00E-01
3.65E+06,-5.00E-01
3.66E+06,-5.00E-01
3.67E+06,-5.00E-01
3.68E+06,-5.00E-01
3.69E+06,-5.00E-01
3.70E+06,-5.00E-01
3.71E+06,-5.00E-01
3.72E+06,-5.00E-01
3.73E+06,-5.00E-01
3.74E+06,-5.00E-01
3.75E+06,-5.00E-01
3.76E+06,-5.00E-01
3.77E+06,-5.00E-01
3.78E+06,-5.00E-01
3.79E+06,-5.00E-01
3.80E+06,-5.00E-01
3.81E+06,-5.00E-01
3.82E+06,-5.00E-01
3.83E+06,-5.00E-01
3.84E+06,-5.00E-01
3.85E+06,-5.00E-01
3.86E+06,-5.00E-01
3.87E+06,-5.00E-01
3.88E+06,-5.00E-01
3.89E+06,-5.00E-01
3.90E+06,-5.00E-01
3.91E+06,-5.00E-01
3.92E+06,-5.00E-01
3.93E+06,-5.00E-01
3.94E+06,-5.00E-01
3.95E+06,-5.00E-01
3.96E+06,-5.00E-01
3.97E+06,-5.00E-01
3.98E+06,-5.00E-01
3.99E+06,-5.00E-01
4.00E+06,-5.00E-01
4.01E+06,-5.00E-01
4.02E+06,-5.00E-01
4.03E+06,-5.00E-01
4.04E+06,-5.00E-01
4.05E+06,-5.00E-01
4.06E+06,-5.00E-01
4.07E+06,-5.00E-01
4.08E+06,-5.00E-01
4.09E+06,-5.00E-01
4.10E+06,-5.00E-01
4.11E+06,-5.00E-01
4.12E+06,-5.00E-01
4.13E+06,-5.00E-01
4.14E+06,-5.00E-01
4.15E+06,-5.00E-01
4.16E+06,-5.00E-01
4.17E+06,-5.00E-01
4.18E+06,-5.00E-01
4.19E+06,-5.00E-01
4.20E+06,-5.00E-01
4.21E+06,-5.00E-01
4.22E+06,-5.00E-01
4.23E+06,-5.00E-01
4.24E+06,-5.00E-01
4.25E+06,-5.00E-01
4.26E+06,-5.00E-01
4.27E+06,-5.00E-01
4.28E+06,-5.00E-01
4.29E+06,-5.00E-01
4.30E+06,-5.00E-01
4.31E+06,-5.00E-01
4.32E+06,-5.00E-01
4.33E+06,-5.00E-01
4.34E+06,-5.00E-01
4.35E+06,-5.00E-01
4.36E+06,-5.00E-01
4.37E+06,-5.00E-01
4.38E+06,-5.00E-01
4.39E+06,-5.00E-01
4.40E+06,-5.00E-01
4.41E+06,-5.00E-01
4.42E+06,-5.00E-01
4.43E+06,-5.00E-01
4.44E+06,-5.00E-01
4.45E+06,-5.00E-01
4.46E+06,-5.00E-01
4.47E+06,-5.00E-01
4.48E+06,-5.00E-01
4.49E+06,-5.00E-01
4.50E+06,-5.00E-01
4.51E+06,-5.00E-01
4.52E+06,-5.00E-01
4.53E+06,-5.00E-01
4.54E+06,-5.00E-01
4.55E+06,-5.00E-01
4.56E+06,-5.00E-01
4.57E+06,-5.00E-01
4.58E+06,-5.00E-01
4.59E+06,-5.00E-01
4.60E+06,-5.00E-01
5.00E+06,-5.00E-01
6.00E+06,-5.00E-01
7.00E+06,-5.00E-01
8.00E+06,-5.00E-01
9.00E+06,-5.00E-01
1.00E+07,-5.00E-01
